time index;acc_x;acc_y;acc_z;gyr_x;gyr_y;gyr_z;mag_x;mag_y;mag_z
1;-8.7786269400;-0.7026933000;-4.6627168200;0.0004743000;0.0463151400;0.0179061000;0.4638290000;-0.0004750000;0.8070190000
2;-8.7406605000;-0.6880654800;-4.6166638200;-0.0162261600;0.0262211400;0.0086730600;0.4647310000;-0.0013210000;0.8084400000
3;-8.7710248800;-0.7027545000;-4.6626597000;-0.0022593000;0.0359825400;-0.0053080800;0.4630600000;-0.0018230000;0.8079630000
4;-8.7555759600;-0.6649696200;-4.6927435800;0.0004171800;0.0204795600;-0.0005844600;0.4627470000;-0.0015350000;0.8072590000
5;-8.7551587800;-0.5892754200;-4.7226958800;0.0004875600;0.0425584800;0.0104856000;0.4623630000;-0.0004810000;0.8077870000
6;-8.7706964400;-0.6422052600;-4.6850986800;0.0115749600;0.0350278200;-0.0006324000;0.4615230000;-0.0004640000;0.8074780000
7;-8.7631617000;-0.6573808200;-4.6851405000;0.0152367600;0.0499881600;0.0272156400;0.4622780000;-0.0001070000;0.8087460000
8;-8.7557799600;-0.7103137200;-4.6930404000;-0.0013474200;0.0350931000;-0.0025112400;0.4608510000;-0.0003310000;0.8077250000
9;-8.7253492800;-0.7180259400;-4.7156946000;-0.0049612800;0.0450819600;-0.0099990600;0.4607580000;-0.0000860000;0.8085470000
10;-8.6945799600;-0.6426673200;-4.7225826600;0.0245391600;0.0367047000;-0.0061965000;0.4598600000;-0.0014360000;0.8096240000
11;-8.7630036000;-0.6346185000;-4.7078263200;-0.0197900400;0.0313956000;-0.0155427600;0.4590320000;0.0001700000;0.8095790000
12;-8.7707382600;-0.6722840400;-4.7233527600;0.0078846000;0.0220299600;-0.0173277600;0.4589440000;-0.0014480000;0.8104140000
13;-8.7403677600;-0.6725890200;-4.7079018000;0.0189057000;0.0286742400;0.0068482800;0.4571720000;-0.0011700000;0.8106160000
14;-8.6945055000;-0.6425469600;-4.7530286400;-0.0013657800;0.0323778600;-0.0006324000;0.4558800000;-0.0000650000;0.8095910000
15;-8.7097973400;-0.6575695200;-4.7456305800;0.0116892000;0.0551167200;-0.0025744800;0.4570010000;0.0003110000;0.8100470000
16;-8.7403759200;-0.6951106200;-4.7461069200;0.0143656800;0.0396066000;0.0021420000;0.4562210000;0.0009620000;0.8108380000
17;-8.7097810200;-0.6500419200;-4.7379693600;0.0208692000;0.0440844000;-0.0025143000;0.4555180000;0.0009780000;0.8105340000
18;-8.7175167000;-0.6877074600;-4.7534968200;0.0189638400;0.0284886000;-0.0071032800;0.4540070000;0.0009940000;0.8104730000
19;-8.7249790200;-0.6649135200;-4.7686285200;0.0124378800;0.0240893400;0.0031385400;0.4546140000;0.0025550000;0.8115890000
20;-8.7096882000;-0.6498909600;-4.7760265800;0.0124378800;0.0240924000;0.0031405800;0.4532560000;0.0020300000;0.8118140000
21;-8.7097718400;-0.6725329200;-4.7837867400;0.0217933200;0.0515222400;0.0086159400;0.4538800000;0.0025180000;0.8132140000
22;-8.6945983200;-0.6877105200;-4.7989929000;0.0265353000;0.0640978200;-0.0063148200;0.4511840000;0.0035210000;0.8115820000
23;-8.6790769800;-0.6423082800;-4.8442513200;0.0153724200;0.0644436000;0.0150654000;0.4501540000;0.0031000000;0.8127840000
24;-8.7249443400;-0.6573563400;-4.7685785400;0.0236476800;0.0496219800;0.0039749400;0.4485430000;0.0030990000;0.8134090000
25;-8.6945860800;-0.6726859200;-4.7760602400;0.0125460000;0.0404664600;-0.0034404600;0.4488210000;0.0049550000;0.8135440000
26;-8.6487921600;-0.6577582200;-4.8212860200;0.0236956200;0.0578442000;0.0030151200;0.4474750000;0.0058860000;0.8140350000
27;-8.7092975400;-0.6417615600;-4.9205932200;0.0209467200;0.0680238000;0.0141219000;0.4452900000;0.0067020000;0.8142170000
28;-8.6637535200;-0.6572441400;-4.9203494400;0.0449809800;0.0789571800;0.0234141000;0.4442650000;0.0072080000;0.8155500000
29;-8.6486422200;-0.6575175000;-4.8821769600;0.0431245800;0.0752780400;0.0197094600;0.4420270000;0.0080500000;0.8147650000
30;-8.6260798200;-0.6580917600;-4.7830574400;0.0245310000;0.0627810000;0.0309049800;0.4399010000;0.0096340000;0.8160460000
31;-8.6640472800;-0.6277069800;-4.7450899800;0.0050632800;0.0398952600;0.0179520000;0.4387810000;0.0087260000;0.8155940000
32;-8.6640840000;-0.6727797600;-4.8138879600;-0.0014463600;0.0242974200;0.0114954000;0.4383710000;0.0075330000;0.8155870000
33;-8.6789637600;-0.6421277400;-4.8899187600;0.0243647400;0.0057048600;0.0032364600;0.4393420000;0.0071190000;0.8157660000
34;-8.6258136000;-0.6651675000;-4.9048893000;0.0049653600;0.0039963600;0.0013606800;0.4382100000;0.0079450000;0.8151640000
35;-8.5875850200;-0.6501184200;-4.9653957000;0.0040259400;0.0040698000;0.0069431400;0.4397210000;0.0084600000;0.8152210000
36;-8.6407729200;-0.6271378200;-4.9352026800;-0.0050071800;0.0434152800;0.0048970200;0.4386930000;0.0074410000;0.8139460000
37;-8.6558750400;-0.6043438800;-4.9351690200;0.0005732400;0.0516130200;0.0057997200;0.4393630000;0.0075070000;0.8161780000
38;-8.6784904800;-0.5288271600;-4.8739557600;0.0170676600;0.0370494600;0.0189087600;0.4368930000;0.0066700000;0.8136040000
39;-8.6398365600;-0.4155633000;-4.9262083200;-0.0069961800;0.0624852000;0.0643538400;0.4368700000;0.0070810000;0.8131860000
40;-8.6918096400;-0.2180709000;-5.0699406000;0.0223359600;0.0676933200;0.1332058800;0.4361080000;0.0061280000;0.8142650000
41;-8.6755936800;-0.0515110200;-5.1752984400;0.0296330400;0.1200254400;0.2269479600;0.4333860000;0.0045510000;0.8145810000
42;-8.7360388800;0.0396066000;-5.1599403000;0.0886522800;0.1757092800;0.3244599600;0.4264500000;0.0033320000;0.8130710000
43;-8.6297824200;0.0084598800;-5.1441139800;0.0441068400;0.1990366800;0.4061691000;0.4195230000;0.0021090000;0.8116980000
44;-8.5220918400;0.2046956400;-5.2942559400;0.1069113000;0.2655876000;0.4971439200;0.4109000000;0.0009270000;0.8094310000
45;-8.5962183000;0.4934505000;-5.5365161400;0.1639925400;0.3318427200;0.6383272200;0.4011610000;0.0002300000;0.8093200000
46;-8.3891215800;0.7798491600;-5.7538230600;0.1621687800;0.4275768600;0.7588657200;0.3861270000;-0.0011680000;0.8076240000
47;-8.4095776800;1.0989163800;-6.1248776400;0.3615430800;0.5382764400;0.9512173200;0.3709770000;0.0012780000;0.8064460000
48;-8.5227375000;1.1612567400;-6.3689055000;0.4708932000;0.6860367000;1.0614130200;0.3499780000;0.0077480000;0.8062440000
49;-8.3094993600;1.1526469200;-6.5348023800;0.3901938600;0.8548171200;1.1312911800;0.3259950000;0.0137010000;0.8066150000
50;-7.8139905000;1.3534369800;-6.7124200800;0.4908097200;1.0502766600;1.1641270200;0.2995280000;0.0199500000;0.8117080000
51;-7.7826377400;1.5047601000;-6.8177626200;0.5245156200;1.0773597000;1.0849933800;0.2717900000;0.0321460000;0.8138130000
52;-7.3021626600;1.7434594800;-6.9952487400;0.4117321800;1.0273888800;1.0413843000;0.2431390000;0.0437320000;0.8142310000
53;-6.8758638600;1.6209187200;-7.4495159400;0.2829633000;1.1306924400;1.0426511400;0.2139570000;0.0491320000;0.8172920000
54;-6.7762445400;1.8614755200;-7.3254084600;0.3391969200;0.9961554600;1.1289084600;0.1882570000;0.0545390000;0.8188390000
55;-6.3351781800;1.9181712000;-7.2684129000;0.4109712600;0.9352522800;1.1144316000;0.1654120000;0.0636490000;0.8200600000
56;-5.8784313600;1.9154906400;-7.5161535600;0.3628099200;0.8896205400;1.0904146800;0.1453370000;0.0729840000;0.8218040000
57;-5.2947424800;2.6556097800;-8.5573328400;0.3716818800;0.8872500600;1.2021199800;0.1238860000;0.0805420000;0.8208860000
58;-5.1587897400;2.4580164000;-8.5575868200;0.4045269000;0.8890391400;1.0719322800;0.1031150000;0.0908860000;0.8199760000
59;-4.6253379000;2.7259143000;-8.5822463400;0.0909156600;0.8593979400;1.1461107600;0.0853360000;0.0948330000;0.8184060000
60;-4.3820250600;2.7090200400;-8.6261818200;-0.0223176000;0.6258924000;0.9804729600;0.0687060000;0.0962830000;0.8202080000
61;-4.2546933600;2.5248570000;-8.1849328800;-0.1088329800;0.6309811800;0.8919787800;0.0567150000;0.0918490000;0.8214130000
62;-3.8591434800;2.5745728200;-8.1816097200;-0.0325400400;0.4941522600;0.8071311000;0.0450380000;0.0874600000;0.8208380000
63;-3.4848595800;2.8670313000;-8.3595517800;0.1216411200;0.4747967400;0.8028154800;0.0357190000;0.0873540000;0.8183960000
64;-2.9984450400;2.8028937000;-8.4171736200;0.1287974400;0.3389266200;0.6834550800;0.0299210000;0.0924820000;0.8178500000
65;-2.9050620000;3.1732516200;-8.6119620000;0.2637934200;0.3329065800;0.6446124600;0.0216300000;0.0997070000;0.8193940000
66;-2.7820918200;3.2044279200;-9.0979767000;0.2695523400;0.3638401200;0.6426275400;0.0158460000;0.1062250000;0.8166330000
67;-2.4473798400;3.1345599600;-9.3090218400;0.3988230600;0.3204044400;0.6030168600;0.0096920000;0.1180430000;0.8147830000
68;-2.2808944200;3.0344551200;-9.1790106000;0.3304973400;0.2854592400;0.5444862000;0.0070470000;0.1306490000;0.8119650000
69;-2.2044597000;2.9069632800;-9.5826817200;0.2956204800;0.3203575200;0.5442822000;0.0043410000;0.1400300000;0.8104100000
70;-1.7657760600;2.5096773600;-9.3916459200;0.1425796800;0.2925890400;0.4232989800;-0.0022780000;0.1472920000;0.8099530000
71;-1.8259060800;2.6913322200;-9.3376379400;0.1445248200;0.2736303000;0.3712912200;-0.0061880000;0.1516190000;0.8087990000
72;-1.6904827200;2.4178651200;-9.2622721800;0.1170042000;0.2880745200;0.3386400000;-0.0117730000;0.1578390000;0.8071510000
73;-1.4789173800;2.2940279400;-8.9570035200;0.0421698600;0.2161104600;0.2374774200;-0.0139360000;0.1596410000;0.8052590000
74;-1.5231874200;2.5591432800;-9.0165093000;0.0226919400;0.1663038600;0.1939479000;-0.0161020000;0.1619090000;0.8058440000
75;-1.2421223400;2.3689673400;-9.2744132400;-0.0310539000;0.1431580200;0.2135237400;-0.0195600000;0.1623580000;0.8052880000
76;-1.2329974200;2.5664209800;-9.5318581800;0.0264965400;0.1604419200;0.1707378000;-0.0217550000;0.1642410000;0.8053240000
77;-1.1795759400;2.5663230600;-9.6151830000;0.0239567400;0.1504061400;0.1000844400;-0.0243740000;0.1645400000;0.8050790000
78;-1.0947445800;2.8376838600;-9.6051635400;-0.0119839800;0.1150458000;0.0295075800;-0.0263520000;0.1615320000;0.8039190000
79;-1.1557762800;2.8153203600;-9.5601009600;-0.0709083600;0.1296736200;-0.0022695000;-0.0286840000;0.1599620000;0.8038370000
80;-1.0270237200;2.8059996000;-9.3765040200;-0.0460713600;0.1474940400;0.0404950200;-0.0324440000;0.1615560000;0.8053280000
81;-1.0495881600;2.8515874800;-9.3916020600;-0.0413773200;0.1314004800;0.0005701800;-0.0344830000;0.1583780000;0.8055450000
82;-0.9961819800;2.9264911800;-9.3298155600;-0.0026458800;0.1313403000;0.0145860000;-0.0375750000;0.1588450000;0.8041770000
83;-0.9736685400;2.9108321400;-9.2384062200;-0.0813450000;0.0934462800;0.0090637200;-0.0406010000;0.1568870000;0.8039320000
84;-1.0274633400;2.8653146400;-9.0868760400;-0.0518619000;0.0776617800;0.0045175800;-0.0422430000;0.1537130000;0.8038890000
85;-1.0195542600;2.8507408800;-9.2391447000;-0.0030059400;0.0516528000;0.0019023000;-0.0442370000;0.1538350000;0.8050480000
86;-0.8515806600;2.9856063000;-9.2826650400;0.0726291000;0.0301236600;0.0011872800;-0.0447200000;0.1554700000;0.8037760000
87;-0.8804966400;3.1683107400;-9.5557180200;-0.0306336600;0.0451064400;-0.0222768000;-0.0434950000;0.1563240000;0.8061630000
88;-0.8495702400;3.1839034800;-9.7380634200;0.0006517800;0.0657747000;0.0409305600;-0.0438130000;0.1555520000;0.8053280000
89;-0.7587912600;3.0924207000;-9.7227460800;-0.0898773000;0.0571414200;0.0296881200;-0.0436890000;0.1547600000;0.8050640000
90;-0.8125228200;3.0319989600;-9.6245945400;0.0082783200;0.0890939400;0.0073552200;-0.0458280000;0.1521640000;0.8034800000
91;-0.7763638200;2.7736288800;-9.3443668800;-0.0732258000;0.0606155400;0.0185313600;-0.0470040000;0.1524130000;0.8045340000
92;-0.9134038800;2.8044186000;-9.2081948400;0.0247727400;0.0484510200;-0.0212914800;-0.0473530000;0.1516560000;0.8031470000
93;-0.8746632600;2.9328284400;-9.2679597000;0.0107079600;0.0232243800;0.0001989000;-0.0479030000;0.1510630000;0.8056110000
94;-0.7301058000;2.8793355600;-9.4118337600;-0.0068911200;0.0254122800;0.0187792200;-0.0475020000;0.1492030000;0.8053650000
95;-0.6231894000;2.9242737000;-9.5249068800;0.0229143000;0.0225450600;-0.0462743400;-0.0487510000;0.1517490000;0.8051580000
96;-0.7430485800;3.2282092200;-9.6912974400;-0.0862440600;0.0015300000;-0.0286650600;-0.0493470000;0.1514450000;0.8067900000
97;-0.8041455600;3.1007061600;-9.8143777800;-0.0565722600;0.0418689600;0.0000255000;-0.0495940000;0.1496410000;0.8047260000
98;-0.7434168000;3.2126134200;-9.5696134800;-0.0095982000;0.0531144600;0.0409866600;-0.0498150000;0.1494840000;0.8056830000
99;-0.7144661400;2.9549369400;-9.4492830600;-0.0601718400;0.0694252800;-0.0000846600;-0.0511570000;0.1485530000;0.8061870000
