time index;acc_x;acc_y;acc_z;gyr_x;gyr_y;gyr_z;mag_x;mag_y;mag_z
1;-9.0868075024;-1.9754856527;-3.0266610815;-0.0095850356;0.0378519831;-0.0444796995;0.6464870000;0.4952290000;0.0326590000
2;-8.8073495879;-2.0352815686;-3.0056738760;0.0202225624;0.0221006008;-0.0414294033;0.6459660000;0.4957530000;0.0331860000
3;-8.7955757379;-1.9552694803;-2.9864669081;0.0276107678;-0.0082736774;0.0047894546;0.6456000000;0.4959350000;0.0315140000
4;-8.8632615455;-2.0986547853;-3.1162239879;0.0191885492;-0.0523683459;-0.0261369284;0.6441310000;0.4969290000;0.0297910000
5;-9.1142267755;-2.1059366481;-3.2357164509;0.0521100279;-0.0619321219;0.0005370611;0.6444220000;0.4971180000;0.0275920000
6;-8.8940174785;-2.2308292176;-3.2591874576;0.0668314530;-0.0548895561;-0.0003855276;0.6455140000;0.4978430000;0.0250080000
7;-9.0201280546;-2.1932238868;-3.4080750583;0.0372316320;-0.0485027113;-0.0239016628;0.6439650000;0.4975460000;0.0217730000
8;-9.0530541889;-2.0767426955;-3.3792548228;0.0290591492;-0.0227292491;-0.0221784224;0.6454850000;0.4982590000;0.0194820000
9;-8.9963174603;-2.1723694053;-3.4228867608;0.0345340069;-0.0024349009;0.0500898529;0.6441900000;0.4967040000;0.0183370000
10;-8.7600763425;-2.1396975155;-3.4155850597;-0.0544394141;0.0652285999;0.0544920524;0.6456910000;0.4954950000;0.0181300000
11;-8.9730354403;-2.1818181197;-3.2979352066;-0.0693756287;0.0829009122;0.0314379356;0.6464240000;0.4949980000;0.0214760000
12;-9.1151128144;-2.1583042318;-3.2879869249;0.0341056066;0.0766610989;0.0361762581;0.6472430000;0.4941260000;0.0238630000
13;-8.9583652453;-2.1493520729;-3.0637912077;0.1027005181;0.0449132425;0.0102591849;0.6474310000;0.4923030000;0.0222270000
14;-8.9363225440;-2.1361530033;-3.0773333710;0.0729918874;0.0450939779;0.0225066628;0.6460790000;0.4920410000;0.0225890000
15;-8.8299244638;-2.1141888510;-2.9988601152;0.0604298523;0.0457914902;0.0010134663;0.6471780000;0.4928280000;0.0226270000
16;-8.9556149243;-2.1763758145;-2.9846096436;0.0403743547;0.0132983095;0.0147173930;0.6484280000;0.4913380000;0.0221180000
17;-8.9534942747;-2.2440865483;-3.0395810032;0.0219884340;0.0063408166;0.0113131015;0.6475870000;0.4919550000;0.0193180000
18;-9.0304225146;-2.2003022347;-3.1076990384;0.0110343197;-0.0150383761;0.0066750085;0.6480450000;0.4917940000;0.0201660000
