time index;acc_x;acc_y;acc_z;gyr_x;gyr_y;gyr_z;mag_x;mag_y;mag_z
1;-8.8494065070;-3.1978045351;2.6951293137;-0.0969002136;0.0096639995;0.0158852192;0.4565210000;0.4711420000;-0.4368040000
2;-8.8994613937;-3.4312505482;2.6887136241;-0.0985934648;-0.0038030838;0.0086551283;0.4569550000;0.4733800000;-0.4312980000
3;-8.7464885300;-3.2603930034;2.7295832987;0.0014436404;0.0116634568;-0.0020864179;0.4562160000;0.4735470000;-0.4322920000
4;-8.7852311427;-3.1914121452;2.6309449860;-0.0765603702;0.0396829288;-0.0208463949;0.4551410000;0.4735480000;-0.4319220000
5;-8.8773667582;-3.3530558151;2.7228124099;-0.0219826031;0.0264648450;-0.0049747736;0.4557520000;0.4758990000;-0.4306760000
6;-8.8305128530;-3.1557285702;2.7446951248;0.0811855628;0.0345368605;-0.0058500222;0.4557560000;0.4744380000;-0.4306650000
7;-8.9260400226;-3.1737749969;2.7280007705;-0.0768779356;0.0278300108;0.0121091100;0.4558380000;0.4745290000;-0.4291480000
8;-8.8379899054;-3.2626421117;2.8417873549;0.0713242789;0.0245984815;0.0053111025;0.4573250000;0.4746570000;-0.4295030000
9;-8.6479971625;-3.0693219943;2.7430809102;-0.0449489165;0.0214192497;-0.0114884835;0.4583990000;0.4753200000;-0.4298770000
10;-8.8729787170;-3.2621822737;2.8436204356;0.0337535044;0.0031874545;-0.0047520312;0.4576990000;0.4746710000;-0.4301760000
11;-8.9390166374;-3.1233381132;2.7136589847;-0.0426754420;0.0269770653;0.0013967465;0.4581910000;0.4756880000;-0.4286500000
12;-8.6599385095;-3.1934188880;2.8582021946;0.0337080436;0.0233342391;0.0070714254;0.4584900000;0.4750090000;-0.4282200000
13;-8.7674441681;-3.2110087273;2.7050726309;-0.0372124963;0.0221038245;-0.0075931101;0.4575650000;0.4759310000;-0.4275750000
14;-8.6418184840;-3.1955791607;2.7952927085;0.0421684389;0.0078374448;0.0071906533;0.4586680000;0.4742580000;-0.4299960000
15;-8.9241591184;-3.2809373242;2.7330157667;-0.0508534263;0.0088681216;-0.0170641401;0.4593220000;0.4741990000;-0.4280430000
16;-8.8544636475;-3.2565860023;2.7074103617;0.1346840843;-0.0134213160;-0.0080591462;0.4575560000;0.4738790000;-0.4303140000
17;-8.8377760477;-3.1345991248;2.6206276435;-0.0311787508;0.0117360299;-0.0166008821;0.4578010000;0.4733600000;-0.4308510000
18;-8.7291518146;-3.4542076305;2.8946384395;0.1621334578;0.0095344507;-0.0110572707;0.4583270000;0.4733650000;-0.4312420000
19;-8.9848312863;-3.1740079375;3.0693459944;0.1918470299;-0.0200488433;-0.0325157400;0.4568760000;0.4688430000;-0.4353970000
20;-8.7161570965;-3.3928094386;3.0373289489;0.0644569891;-0.0310316810;-0.0520748102;0.4554530000;0.4688180000;-0.4388950000
21;-9.0064180720;-3.2902790214;3.3192852381;0.1922449644;-0.1211489790;-0.0995354438;0.4513490000;0.4677980000;-0.4438690000
22;-8.8950505656;-3.0923760861;3.0010843270;0.2123231824;-0.1471216155;-0.0908785399;0.4482770000;0.4660020000;-0.4500360000
23;-8.7675867835;-3.1475269088;3.0383038198;0.1066870187;-0.1545498120;-0.1075441789;0.4429310000;0.4650000000;-0.4551980000
24;-8.5775729382;-3.1065988924;3.0579282545;-0.0382458927;-0.1366747706;-0.0833305410;0.4374360000;0.4653970000;-0.4580370000
25;-8.7308466248;-3.4543593757;3.3834448496;-0.0612901604;-0.1498931078;-0.1010044158;0.4352760000;0.4667980000;-0.4599230000
26;-8.8041779983;-4.1461021495;3.9486645241;0.0554833479;-0.2569453420;-0.2013414822;0.4259960000;0.4694000000;-0.4643060000
27;-8.8941447113;-4.3679932040;4.9077707120;0.2169862855;-0.4762641346;-0.3688465147;0.4137910000;0.4721900000;-0.4745880000
28;-9.0481739092;-4.7166278152;5.4145128749;0.3189814024;-0.7040439010;-0.4201445622;0.3958130000;0.4737900000;-0.4878470000
29;-8.9195586453;-4.3762332412;5.8642185293;0.4081030240;-0.9527567332;-0.4697332370;0.3727440000;0.4696840000;-0.5092510000
30;-8.7795225872;-4.2343714567;7.1998061567;0.4677776080;-1.2845050878;-0.5709651513;0.3386810000;0.4673690000;-0.5338620000
31;-8.8170070620;-4.8105916383;6.9845541201;0.3451554340;-1.7003130308;-0.7039486253;0.2882290000;0.4663300000;-0.5651960000
32;-8.6966276961;-4.6127116200;7.8320112157;0.2351732607;-2.1137539957;-0.8235774633;0.2281740000;0.4664570000;-0.5918320000
33;-8.1726326541;-4.6967017500;8.1172589138;0.0130779604;-2.5448981217;-0.8578685265;0.1635020000;0.4702580000;-0.6101460000
34;-7.7444416255;-5.0032176396;8.4704743529;-0.1485320357;-2.7819813032;-0.9308171079;0.0813910000;0.4772440000;-0.6217500000
35;-6.8478108148;-5.0250812184;8.8032969448;-0.1400696292;-3.0256274000;-1.0722040958;-0.0121210000;0.4803790000;-0.6241480000
36;-6.0349315594;-4.9345444745;8.9376810628;-0.0839007305;-3.2823435414;-1.1007554996;-0.1217620000;0.4831280000;-0.6160430000
37;-4.6742259739;-4.6853880603;8.4821859807;-0.2497331676;-3.3460333249;-0.9180733946;-0.2210220000;0.4815990000;-0.5909720000
38;-3.6410453809;-4.5222001735;9.0380494253;-0.2339300471;-3.4967214615;-0.9774075599;-0.3177840000;0.4777010000;-0.5528460000
39;-2.2988658212;-4.8822100011;7.9367898311;-0.2698910435;-3.4873608247;-0.8883942770;-0.4084990000;0.4710040000;-0.4968390000
40;-1.1010967930;-4.9232852869;7.7752779057;-0.1672053343;-3.4475861998;-0.8309701151;-0.4908200000;0.4611450000;-0.4301480000
41;0.1967194723;-4.2675259933;7.1738576821;-0.0955203159;-3.5419570781;-0.7398500627;-0.5649590000;0.4431870000;-0.3517840000
42;1.5339017793;-4.3475516893;5.8564094960;-0.2089705960;-3.3778015040;-0.7599675352;-0.6229760000;0.4279350000;-0.2664610000
43;2.1464555278;-4.2298838544;5.5484771341;-0.0350896190;-3.3109138329;-0.7030259986;-0.6696520000;0.4106550000;-0.1841100000
