time index;acc_x;acc_y;acc_z;gyr_x;gyr_y;gyr_z;mag_x;mag_y;mag_z
1;-8.6269771248;-0.6867811016;-4.5353141374;0.0004624624;0.0454099354;0.0176322363;0.4638290000;-0.0004750000;0.8070190000
2;-8.6076640013;-0.6815060118;-4.5774567077;-0.0161217534;0.0256699548;0.0084736424;0.4647310000;-0.0013210000;0.8084400000
3;-8.5003359479;-0.6823624553;-4.5419687685;-0.0022296651;0.0347379881;-0.0051888687;0.4630600000;-0.0018230000;0.8079630000
4;-8.5122457221;-0.6561674791;-4.5514076614;0.0004094124;0.0202706581;-0.0005809168;0.4627470000;-0.0015350000;0.8072590000
5;-8.7324499481;-0.5825989148;-4.7175065091;0.0004795773;0.0422676032;0.0104137258;0.4623630000;-0.0004810000;0.8077870000
6;-8.5865800503;-0.6188388974;-4.6518412497;0.0115397815;0.0342959665;-0.0006159132;0.4615230000;-0.0004640000;0.8074780000
7;-8.6596166162;-0.6401496703;-4.6308573461;0.0147009917;0.0492823489;0.0267884846;0.4622780000;-0.0001070000;0.8087460000
8;-8.5647223509;-0.6827449200;-4.6824755225;-0.0013070358;0.0347251901;-0.0025005820;0.4608510000;-0.0003310000;0.8077250000
9;-8.5820382080;-0.6904357329;-4.6708401206;-0.0048281291;0.0435768768;-0.0096574805;0.4607580000;-0.0000860000;0.8085470000
10;-8.4142984546;-0.6178960077;-4.7022208125;0.0236448691;0.0360181664;-0.0060102355;0.4598600000;-0.0014360000;0.8096240000
11;-8.6720592838;-0.6207033077;-4.6550515595;-0.0195538135;0.0307755417;-0.0151783430;0.4590320000;0.0001700000;0.8095790000
12;-8.7453338527;-0.6613105831;-4.5384650833;0.0077794191;0.0216347280;-0.0173123577;0.4589440000;-0.0014480000;0.8104140000
13;-8.4287167641;-0.6596833483;-4.5321355612;0.0183836818;0.0275700340;0.0066637480;0.4571720000;-0.0011700000;0.8106160000
