time index;acc_x;acc_y;acc_z;gyr_x;gyr_y;gyr_z;mag_x;mag_y;mag_z
1;-8.6036610800;3.7015384000;-1.8487396200;-0.0034074600;0.0395831800;-0.0201566400;0.4212560000;-0.4592300000;0.5154350000
2;-8.6182229000;3.7161492200;-1.8414415600;0.0284366600;0.0200596200;-0.0182427000;0.4210620000;-0.4577380000;0.5144520000
3;-8.6254063000;3.7308168800;-1.8633406400;0.0142678200;0.0298821600;-0.0129418800;0.4213190000;-0.4567360000;0.5166610000
4;-8.6032553600;3.7598582000;-1.9068624400;0.0053204200;0.0203693000;-0.0057614200;0.4208960000;-0.4591190000;0.5163850000
5;-8.5963277400;3.7159434200;-1.8339631800;-0.0107555000;0.0172372200;0.0138934600;0.4211690000;-0.4580570000;0.5163880000
6;-8.6255640800;3.6801058000;-1.8929239000;0.0186013800;0.0221656400;0.0049695800;0.4205270000;-0.4574730000;0.5147040000
7;-8.6623258400;3.6583850800;-1.8348383200;0.0017032400;0.0098872200;-0.0030478000;0.4208500000;-0.4585640000;0.5155520000
8;-8.5890973000;3.6797245800;-1.8707102400;0.0141815800;0.0114189600;-0.0146490400;0.4211090000;-0.4581600000;0.5152840000
9;-8.5744090600;3.7013610200;-1.8631446400;-0.0053223800;0.0186337200;-0.0111288800;0.4221950000;-0.4589630000;0.5150580000
10;-8.6257640000;3.6437429000;-1.8785355400;0.0187405400;0.0359924600;-0.0129654000;0.4209680000;-0.4568280000;0.5152680000
11;-8.6547181000;3.7020656400;-1.8783758000;0.0177536800;0.0220313800;-0.0057575000;0.4206280000;-0.4585870000;0.5165090000
12;-8.6181680200;3.7162364400;-1.8633798400;-0.0105967400;0.0256417000;-0.0147450800;0.4220900000;-0.4564520000;0.5157240000
13;-8.6551169600;3.6293408200;-1.8495990800;0.0088886000;0.0256338600;-0.0039993800;0.4210680000;-0.4576760000;0.5170710000
14;-8.6257669400;3.6509459000;-1.8638620000;0.0319519200;0.0219422000;-0.0057369200;0.4211730000;-0.4563310000;0.5165140000
15;-8.5746530800;3.6433019000;-1.8708376400;0.0115297000;0.0078351000;-0.0217863800;0.4220140000;-0.4572800000;0.5168300000
16;-8.6408658000;3.5421492400;-1.8646842200;0.0302065400;0.0147127400;-0.0218001000;0.4221730000;-0.4566270000;0.5172460000
17;-8.6484029800;3.4985833400;-1.8503987600;0.0837067000;0.0242177600;-0.0736068200;0.4238060000;-0.4562390000;0.5170330000
18;-8.7224047400;3.2741682400;-1.8743587800;0.2437524600;0.0024558800;-0.1743037800;0.4245560000;-0.4502960000;0.5183980000
19;-8.7752728000;2.8609071400;-1.9286400000;0.4236638000;0.0026528600;-0.3322719400;0.4281730000;-0.4409880000;0.5271620000
20;-8.7264207800;2.3955022000;-1.8581633000;0.4869051600;0.0610118600;-0.5433688400;0.4320400000;-0.4268850000;0.5356250000
21;-8.7824718800;2.8683424000;-1.9578988800;0.5711998600;0.1637883800;-0.6330633400;0.4388260000;-0.4113040000;0.5473650000
22;-8.9076610000;3.9535444200;-2.5222240400;0.8056237000;0.0459169200;-0.5768162400;0.4414550000;-0.3906070000;0.5584870000
23;-9.1019273800;3.0830623600;-2.3538404400;0.7535759000;-0.0649544000;-0.3422924400;0.4484940000;-0.3692360000;0.5725400000
24;-8.8390678600;2.9510553800;-2.5574766000;0.3373228600;0.0411070800;0.0302869000;0.4498610000;-0.3543620000;0.5829640000
25;-8.8825259600;2.9375813600;-2.7334111000;-0.2899565200;-0.0414148000;0.1084262200;0.4467160000;-0.3574580000;0.5805170000
26;-8.9452048000;2.2103919600;-2.3437003800;-0.3535438200;-0.0223969200;0.0456758400;0.4491790000;-0.3655880000;0.5751600000
27;-8.8664647400;2.0125407400;-2.0518603000;-0.0759078600;0.0803472600;-0.0178340400;0.4500740000;-0.3689540000;0.5713600000
28;-8.9143112800;2.6453522200;-2.2236258800;0.0429132200;0.0494782400;-0.0291471600;0.4492490000;-0.3684130000;0.5713230000
29;-9.0310322200;2.6465252800;-2.2830089800;0.0052743600;0.0027224400;0.0067394600;0.4485750000;-0.3739280000;0.5688540000
30;-8.8999915200;2.5654792800;-2.2532895000;-0.0624191400;-0.0138346600;0.0460541200;0.4476880000;-0.3733560000;0.5677120000
31;-8.8997798400;2.5730292000;-2.3263710400;-0.0588392000;-0.0094854200;0.0460384400;0.4472430000;-0.3726040000;0.5696180000
