time index;acc_x;acc_y;acc_z;gyr_x;gyr_y;gyr_z;mag_x;mag_y;mag_z
1;-9.3590798635;-2.3715414601;-1.5129008833;0.0424313698;0.0384433969;0.0120958851;0.6357330000;0.4922310000;-0.1143970000
2;-9.4664197467;-2.3108319643;-1.5220459411;0.0299125290;0.0440506063;0.0215515259;0.6349390000;0.4922250000;-0.1138780000
3;-9.4107955040;-2.3116930650;-1.5232708859;-0.0051575611;0.0577111671;0.0084285043;0.6358700000;0.4922290000;-0.1143910000
4;-9.1433139099;-2.4253479963;-1.4775575308;-0.0069110589;0.0459717034;0.0174475347;0.6351540000;0.4915210000;-0.1124870000
5;-9.4430892195;-2.3983502593;-1.4982164367;0.0459883536;0.0384454218;0.0234397597;0.6367790000;0.4913810000;-0.1128340000
6;-9.3050072189;-2.4466825262;-1.5305081782;0.0322334836;0.0219653003;0.0104240239;0.6370980000;0.4917540000;-0.1119970000
7;-9.4873611259;-2.4471713440;-1.5595269465;0.0020033668;0.0361473955;0.0084755253;0.6366780000;0.4916300000;-0.1121510000
8;-9.2856214468;-2.4820451162;-1.5087820388;0.0336539398;0.0221031910;0.0104204364;0.6360100000;0.4904330000;-0.1118940000
9;-9.2201369092;-2.4185552975;-1.5249093945;0.0184609964;0.0323472245;-0.0023311005;0.6381970000;0.4912100000;-0.1119490000
10;-9.4902359242;-2.4605367174;-1.4890878999;0.0020209439;0.0314830693;-0.0005519918;0.6373660000;0.4909570000;-0.1121190000
11;-9.2620137714;-2.3953213316;-1.5241965294;0.0144668931;0.0203689212;-0.0023279043;0.6382380000;0.4898620000;-0.1112490000
12;-9.4099518278;-2.3775149688;-1.5861792494;0.0117903121;0.0292070263;-0.0067964152;0.6374780000;0.4887110000;-0.1126490000
13;-9.3860333424;-2.3765154504;-1.5438039551;0.0239748043;0.0286995509;-0.0171315012;0.6380630000;0.4898830000;-0.1119450000
14;-9.1898814520;-2.4198835133;-1.5659840861;0.0201122644;0.0267192060;-0.0279176094;0.6370610000;0.4912410000;-0.1126840000
15;-9.2442058468;-2.3830284712;-1.5594811026;-0.0051247616;0.0166169017;-0.0151633780;0.6365890000;0.4902790000;-0.1113190000
16;-9.5043792332;-2.4309574556;-1.5518998471;0.0038203929;0.0206261396;-0.0206096780;0.6368210000;0.4925550000;-0.1120140000
