time index;acc_x;acc_y;acc_z;gyr_x;gyr_y;gyr_z;mag_x;mag_y;mag_z
1;-6.7827358200;-4.3412587200;6.0832616400;0.0332469000;-0.0722598600;-0.0392567400;0.3066650000;0.1625760000;-0.7019470000
2;-6.7295458800;-4.3717363200;6.0377971800;0.0674128200;-0.0947590200;-0.0642263400;0.3049830000;0.1638050000;-0.7027100000
3;-6.7142428200;-4.3416891600;6.0533317800;0.1099519200;-0.0775567200;-0.0549372000;0.3003980000;0.1622370000;-0.7067250000
4;-6.7295652600;-4.3267543200;6.1294278600;0.1228651200;-0.0738796200;-0.0474922200;0.2948260000;0.1593050000;-0.7088470000
5;-6.6380692200;-4.2670323000;6.1305090600;0.1137014400;-0.0517415400;-0.0392169600;0.2937240000;0.1553510000;-0.7091370000
6;-6.5619303000;-4.2824577600;6.0548719800;0.1000701600;-0.0049623000;-0.0347809800;0.2929900000;0.1543250000;-0.7101200000
7;-6.6374113200;-4.1459368800;6.0856331400;0.0568048200;0.0199216200;-0.0423901800;0.2914370000;0.1522490000;-0.7111270000
8;-6.6223336800;-4.1162528400;6.1925016000;0.0308672400;0.0268423200;-0.0182651400;0.2911770000;0.1527750000;-0.7108670000
9;-6.6226131600;-4.1617162800;6.2226497400;0.0105447600;0.0214077600;-0.0257121600;0.2910110000;0.1521290000;-0.7114180000
10;-6.6004098000;-4.2378929400;6.3288827400;0.0658461000;0.0037525800;-0.0199767000;0.2906800000;0.1509700000;-0.7125210000
11;-6.5619976200;-4.1325187800;6.3603058800;0.0510204000;-0.0108691200;-0.0292281000;0.2910300000;0.1503990000;-0.7111300000
12;-6.5316679200;-4.2079141200;6.2534843400;0.0306867000;0.0014218800;-0.0069849600;0.2891510000;0.1484850000;-0.7131130000
13;-6.5084843400;-4.1324657400;6.2389279200;0.0519200400;0.0078213600;0.0041830200;0.2889100000;0.1470160000;-0.7125630000
14;-6.5007017400;-4.1172330600;6.1934175600;0.0085557600;0.0098236200;-0.0051867000;0.2897690000;0.1475840000;-0.7143170000
15;-6.5465436000;-4.1472445200;6.2309321400;-0.0210069000;0.0230509800;0.0123858600;0.2881710000;0.1478450000;-0.7135590000
16;-6.5160649800;-4.1773865400;6.1472411400;0.0233376000;0.0450513600;0.0421188600;0.2887790000;0.1476760000;-0.7124360000
17;-6.5842142400;-4.1088813000;6.1623922200;-0.0154060800;0.0507113400;0.0355255800;0.2912950000;0.1486160000;-0.7138510000
18;-6.6380212800;-4.2069359400;6.2222386800;-0.0144921600;0.0479359200;0.0336712200;0.2919360000;0.1465780000;-0.7121640000
19;-6.6386077800;-4.3204140000;6.2519421000;0.0234753000;0.0594405000;0.0243688200;0.2925980000;0.1458530000;-0.7100740000
20;-6.6535660800;-4.2823853400;6.2216307600;0.0493700400;0.0461427600;0.0002743800;0.2936050000;0.1445610000;-0.7116710000
21;-6.6379774200;-4.2218697600;6.1764733200;0.0365231400;0.0524606400;-0.0127908000;0.2949290000;0.1444360000;-0.7124400000
22;-6.6381885600;-4.2522188400;6.2067204000;0.0068666400;0.0409071000;-0.0034802400;0.2947180000;0.1433500000;-0.7113430000
23;-6.6837764400;-4.2218034600;6.2522409600;0.0346228800;0.0247441800;-0.0368628000;0.2965580000;0.1426380000;-0.7101660000
24;-6.6848086800;-4.3435006800;6.4493396400;0.0235069200;0.0341975400;-0.0220340400;0.2966230000;0.1412170000;-0.7115260000
25;-6.6629449800;-4.4577335400;6.6238269600;0.0879178800;-0.0537601200;-0.0764490000;0.2927040000;0.1399800000;-0.7133200000
26;-6.6413781000;-4.6624710000;6.7520542200;0.2181178200;-0.1000885200;-0.1272358200;0.2916180000;0.1394590000;-0.7132230000
27;-6.6876340800;-4.6481328600;7.0410324600;0.2731223400;-0.2153322000;-0.1768945200;0.2862730000;0.1336350000;-0.7162760000
28;-6.6119990400;-4.5443305200;7.3924081800;0.3888219600;-0.4109865600;-0.2651775600;0.2753000000;0.1266270000;-0.7224280000
29;-6.5665039800;-4.4098445400;7.6904756400;0.4885636800;-0.6484364400;-0.3402822000;0.2562610000;0.1171270000;-0.7313550000
30;-6.1844599200;-4.0271619600;7.6121355600;0.4269424200;-0.7926613800;-0.3629537400;0.2341280000;0.1068400000;-0.7394390000
31;-5.9729200800;-4.1435276400;7.9402767000;0.4524618000;-0.8698029600;-0.3858180600;0.2084350000;0.0976530000;-0.7476740000
32;-5.6828116800;-3.8437812600;7.9977057600;0.4829598000;-1.0714987800;-0.4202175600;0.1791120000;0.0868210000;-0.7574140000
33;-5.4110418600;-3.9540728400;8.5775206800;0.3010152600;-1.2411319200;-0.4308612600;0.1404240000;0.0789660000;-0.7660420000
34;-5.1841469400;-4.0328066400;8.9136341400;0.2686017000;-1.4709073200;-0.4819816200;0.0957070000;0.0734970000;-0.7724570000
35;-4.7140218000;-4.2035832000;9.0987651600;0.1403479200;-1.6588790400;-0.5352562200;0.0456150000;0.0689010000;-0.7797800000
36;-4.1385031200;-4.4519011800;9.5658139800;0.4063629000;-1.8695682000;-0.5841591000;-0.0084140000;0.0611560000;-0.7817480000
37;-3.5999696400;-4.3981706400;10.1715542400;0.5206335000;-2.0969731200;-0.5959778400;-0.0691380000;0.0471280000;-0.7789970000
38;-2.6774000400;-3.8835367800;10.0296671400;0.2529671400;-2.3027244600;-0.6902370600;-0.1379620000;0.0324720000;-0.7695670000
39;-1.9950129000;-4.1545120200;10.2766468800;0.1252845600;-2.5378436400;-0.7172425800;-0.2179770000;0.0225560000;-0.7548550000
40;-1.0272165000;-3.8659356600;9.8748423600;0.2621522400;-2.7183040800;-0.7533934200;-0.2971880000;0.0093930000;-0.7280110000
