time index;acc_x;acc_y;acc_z;gyr_x;gyr_y;gyr_z;mag_x;mag_y;mag_z
1;-9.1729381800;-1.2159408800;-2.2855138600;-0.0017277400;0.0240433200;0.0224753200;0.6026250000;0.0321810000;0.5381800000
2;-9.1805939400;-1.2741146600;-2.2493832200;0.0177595600;0.0320695200;0.0421282400;0.6014700000;0.0294260000;0.5370500000
3;-9.2026341400;-1.3101855200;-2.2644115200;0.0125361600;0.0219412200;0.0037298800;0.6020510000;0.0290050000;0.5376290000
4;-9.2246518000;-1.3173855800;-2.2353721600;0.0330034600;0.0242863600;-0.0078733200;0.6026440000;0.0301750000;0.5384720000
5;-9.1953694000;-1.3030991400;-2.2350575800;0.0302722000;0.0165002600;-0.0006899200;0.6031330000;0.0303320000;0.5373860000
6;-9.1514977400;-1.2889587200;-2.2273195000;0.0000215600;0.0035711200;0.0011172000;0.6037880000;0.0316720000;0.5368510000
7;-9.1952674800;-1.2885196800;-2.2495880400;0.0071716400;-0.0011152400;-0.0167325200;0.6020890000;0.0295860000;0.5358320000
8;-9.2390627000;-1.2737020800;-2.2351977200;0.0284768400;0.0040679800;-0.0113670200;0.6032440000;0.0323400000;0.5369620000
9;-9.1950352200;-1.2448949800;-2.2639293600;-0.0105810600;-0.0045530800;-0.0203163800;0.6025500000;0.0316860000;0.5368010000
10;-9.1950616800;-1.2665627800;-2.2933244600;-0.0017110800;0.0088043200;-0.0007007000;0.6024100000;0.0326200000;0.5367880000
11;-9.1948617600;-1.2301998800;-2.3077128200;0.0071814400;0.0024313800;-0.0131721800;0.6031590000;0.0331810000;0.5354340000
12;-9.1803724600;-1.2449263400;-2.2857588600;0.0018816000;0.0148881600;-0.0042943600;0.6029370000;0.0328920000;0.5363940000
13;-9.2021392400;-1.2084732800;-2.2783735800;0.0152821200;0.0269990000;-0.0114787400;0.6037610000;0.0338150000;0.5364200000
14;-9.1657930000;-1.2234633600;-2.2343157200;-0.0016738400;0.0256417000;0.0090640200;0.6036690000;0.0336600000;0.5372460000
15;-9.2097156200;-1.2448930200;-2.2347880800;0.0089180000;0.0087876600;0.0028900200;0.6030850000;0.0316870000;0.5365460000
16;-9.1805057400;-1.2307222200;-2.2052214800;0.0080340400;0.0132466600;0.0064484000;0.6032310000;0.0315490000;0.5366910000
17;-9.1805057400;-1.2307222200;-2.2052214800;-0.0052645600;0.0186543000;0.0099822800;0.6040490000;0.0312770000;0.5365880000
18;-9.1952449400;-1.2596488800;-2.2055203800;0.0178232600;0.0113023400;-0.0024696000;0.6036050000;0.0318290000;0.5360140000
19;-9.1659037400;-1.2164338200;-2.1757636600;0.0018718000;0.0131173000;-0.0078566600;0.6033620000;0.0308850000;0.5365630000
20;-9.1950754000;-1.2377498000;-2.2346303000;0.0105644000;-0.0068707800;0.0154732200;0.6056320000;0.0311590000;0.5354110000
21;-9.1952086800;-1.2595910600;-2.2201468800;-0.0071432200;-0.0051018800;0.0065042600;0.6046750000;0.0325650000;0.5330160000
22;-9.1732537400;-1.2741156400;-2.2639548400;0.0034937000;-0.0060142600;0.0100979200;0.6047620000;0.0306580000;0.5345510000
23;-9.1731822000;-1.2740000000;-2.2932068600;0.0018600400;0.0185386600;0.0064141000;0.6052650000;0.0314740000;0.5337370000
24;-9.1952086800;-1.2595910600;-2.2201468800;0.0090522600;0.0253104600;-0.0105859600;0.6070220000;0.0314030000;0.5357410000
25;-9.2536441200;-1.2519166800;-2.2059133600;0.0339305400;0.0232446200;-0.0203791000;0.6062690000;0.0333060000;0.5345930000
26;-9.1950303200;-1.2160535800;-2.2125489400;0.0302751400;0.0057624000;-0.0167276200;0.6052760000;0.0327320000;0.5364890000
27;-9.2098293000;-1.2306604800;-2.1615634600;0.0268569000;0.0285630800;-0.0221930800;0.6056920000;0.0354550000;0.5341400000
28;-9.1802793600;-1.1726915200;-2.1902157200;0.0470978200;-0.0013710200;-0.0166707800;0.6056990000;0.0357170000;0.5342760000
29;-9.1659762600;-1.2165494600;-2.1465126200;0.0408856000;0.0147470400;0.0029155000;0.6063340000;0.0356030000;0.5333360000
30;-9.2099508200;-1.2020209600;-2.0589917600;0.0710460800;-0.0015141000;-0.0166374600;0.6048310000;0.0376110000;0.5335370000
31;-9.2683284400;-1.2447117200;-2.1620985400;0.0630796600;-0.0033026000;-0.0202262200;0.6054920000;0.0397460000;0.5331340000
32;-9.1665358400;-1.3327833400;-2.1326456200;0.0550495400;-0.0147049000;-0.0255417400;0.6067000000;0.0397470000;0.5326310000
33;-9.2542046800;-1.2888587600;-2.0452649000;0.1820820400;0.0089846400;-0.0272636000;0.6063510000;0.0421820000;0.5313570000
34;-9.2248438800;-1.2888626800;-2.1035494200;0.2538337200;-0.0026665800;-0.0056644000;0.6075620000;0.0473720000;0.5310910000
35;-9.1375954600;-1.3622950600;-2.0741121800;0.0566998600;-0.0268098600;-0.0111847400;0.6085950000;0.0505870000;0.5300050000
36;-9.0949135200;-1.5446936400;-1.9433351000;0.1582259000;0.0043443400;-0.0639097200;0.6080240000;0.0535310000;0.5296850000
